,0
0,Alaska
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Hawaii
6,Idaho
7,Illinois
8,Indiana
9,Iowa
10,Kansas
11,Kentucky
12,Maine
13,Maryland
14,Massachusetts
15,Michigan
16,Minnesota
17,Mississippi
18,Missouri
19,Montana
20,Nebraska
21,Nevada
22,New Hampshire
23,New Mexico
24,North Dakota
25,Oklahoma
26,Oregon
27,Pennsylvania
28,Rhode Island
29,South Dakota
30,Tennessee
31,Utah
32,Vermont
33,Virginia
34,West Virginia
35,Wisconsin
36,Wyoming
